gene_name CTL_gene_expr1 CTL_gene_expr2 M3KD_gene_expr1 M3KD_gene_expr2 untreated_IP1 untreated_IP2 treated_IP1 treated_IP2
GIPC1 2249 1929 2885 3043 1.1 1.14 0.7 0.58
ZBTB6 392 298 174 168 1.16 0.66 1.98 2.19
SRCAP 2529 2247 4023 3972 1.97 1.91 1.78 1.82
PPARGC1A 1143 911 852 874 1.79 1.5 2.59 1.96
MALT1 947 777 591 561 1.3 1.12 1.68 1.2
JTB 1663 1316 1083 1204 1.71 1.31 0.68 0.63
PNPLA6 1973 1690 1993 2071 2.38 2.69 1.12 1.32
TCERG1 4556 3889 3823 3802 1.15 1.3 0.74 0.72
MAGED2 4583 3868 5127 4996 0.09 0.14 0.2 0.24
RALBP1 1275 1128 1380 1338 1.99 1.77 1.33 0.81
HNRNPA0 3452 2939 3641 3862 2 1.99 1.25 1.32
STIP1 8300 6939 8012 7917 0.52 0.82 1 0.9
ASCC3 1936 1609 1142 1141 1.06 1.03 1.23 1.29
UQCR11 919 802 529 610 0.27 0.27 0.59 0.56
PAPD7 2424 2025 2679 2622 2.63 2.59 2 2.13
ADRM1 4523 4097 5043 5161 1.37 1.46 2.24 1.94
CHD1 2525 2102 2075 2049 2.52 1.95 2.39 2.47
TPPP 1030 933 1659 1686 0.61 0.85 1.05 1.01
RER1 807 671 637 540 1.28 1.56 0.25 0.58
CHD4 10783 9331 15508 15566 0.78 0.73 0.14 0.28
DNAJB4 469 388 158 149 1.26 1.15 1.44 1.38
DIDO1 5033 4353 6886 6903 1.85 2.08 1 1.11
CIT 2912 2483 3151 3100 1.62 1.4 0.77 0.33
BTN3A2 1778 1591 1221 1259 2.43 2.42 2.27 2.35
BTN2A1 702 582 853 792 1.67 1.53 1.61 1.82
ZWINT 1320 1103 2076 1967 1.53 1.45 1.67 1.54
CDC42EP1 1354 1270 2156 2233 1.5 1.44 0.66 0.74
KAT7 1211 1089 1688 1666 1.74 1.26 0.79 0.82
HHLA3 300 264 366 368 1.4 1.28 0.86 0.67
BAZ2A 5745 4917 7465 7588 1.37 1.46 0.92 1.01
WDR6 2777 2510 3628 3594 1.36 1.26 0.8 0.96
NISCH 2548 2240 3289 3308 1.86 1.8 1.18 1.19
CEP250 3714 3211 6052 6288 1.79 2.15 1.03 0.94
AKAP13 3168 2776 4690 4667 2.11 2.14 1.48 1.48
CHML 1499 1294 697 641 1.52 1.61 1.69 1.55
RASSF8 3104 2511 1691 1750 0.32 0.35 0.37 0.34
RNF139 307 270 109 119 2.89 3.64 1.76 1.7
PRKCDBP 224 160 282 282 1.49 1.61 0.65 0.67
DTD2 552 461 332 340 2.46 2.11 3 2.92
MAN1B1 2299 1961 2594 2754 0.38 0.73 0.87 0.83
NRM 674 569 1075 1034 2.01 1.9 1.37 1.35
WDR89 302 224 185 182 2.29 2.74 3.15 2.95
NACC1 3693 3303 4912 4955 1.79 1.75 1.36 1.2
RPUSD1 576 527 798 824 1.04 1.36 0.71 0.42
PLCD3 2748 2315 3726 3789 1.85 1.94 1.33 1.2
AHNAK2 10237 8848 20284 20500 1.87 1.84 1.53 1.54
COPE 1876 1672 2039 2041 0.65 0.62 0.73 0.7
LARP4 1798 1611 1113 1033 1.71 1.8 1.84 1.92
SYNPO 2345 1989 3849 3996 1.5 1.53 1.1 1.14
LACTB 399 328 238 233 2.63 2.48 3.34 2.74
PALM2 281 285 150 178 1.36 0.92 1.65 1.79
GPRIN1 497 364 915 921 1.61 1.86 1.95 1.93
LENG8 4519 3989 4502 4630 1.92 1.71 1.69 1.84
C1QTNF6 1657 1350 3033 2957 2.25 2.27 1.79 1.81
VASN 560 484 720 780 2.15 2.2 1.67 1.67
CCDC124 2436 2187 2747 2809 0.95 0.82 0.57 0.34
UHRF2 1004 811 691 668 2.42 2.09 1.11 1.18
ALPK2 917 850 1180 1189 1.68 1.14 2.03 2.1
LYSMD3 458 396 301 292 2.25 2.11 2.4 2.31
AGAP1 1614 1495 1935 1967 2.44 2.56 1.87 1.95
AP2M1 3979 3385 4465 4586 0.26 0.37 0.43 0.43
AP1S1 827 769 560 591 0.21 0.21 0.39 0.26
CLU 122322 105521 118046 119085 0.48 0.49 0.37 0.37
CLIC1 4561 4027 3764 3904 1.1 1.07 0.9 0.72
TPP1 1009 819 1029 1056 0.29 0.3 1.07 0.99
ARL14EP 243 192 110 110 0.6 0.65 0.88 1.08
ZNF641 303 307 401 386 2 1.82 1.95 2.33
PAQR4 760 631 920 965 2.58 2.76 2.07 2.11
CDYL2 880 741 1209 1106 1.59 1.29 0.75 0.79
CANT1 864 765 1256 1218 2.3 2.21 1.66 1.56
HEXIM2 229 206 364 341 1.83 1.44 2.06 2.16
RAVER1 1133 956 1530 1635 1.27 1.36 0.88 0.7
ZNF441 120 97 49 67 0.78 0.55 2.02 1.34
ZNF787 803 695 949 995 1.62 1.84 1.15 1.11
MISP 1617 1458 2528 2601 0.38 0.86 1.06 1.14
CCSAP 629 504 399 349 0.55 0.88 1 1.1
TSHZ2 4591 3941 5751 5769 0.4 0.59 0.76 0.71
COL5A1 15320 13290 19369 19610 2.15 2.22 2 1.96
TRABD2A 1109 946 762 718 1.63 1.68 1.79 1.79
CRYBG3 508 411 579 552 1.85 1.07 1.99 5.25
KLF6 630 566 688 727 2.02 1.92 1.56 1.36
AASDH 243 207 143 132 1.56 1.91 2.41 2.32
NADK2 1035 876 733 652 1.83 1.85 2.32 2.18
COX6A1 5974 5144 3965 3962 0.98 1.08 0.74 0.75
NUDCD2 343 279 207 221 0.38 0.36 0.46 0.42
COX11 678 635 365 371 0.21 0.21 0.32 0.26
MPLKIP 904 700 679 673 1.42 1.33 1.63 1.57
HGSNAT 607 488 797 787 1.96 1.67 2.18 2.52
CRAT 1459 1273 2332 2402 1.69 1.74 0.85 0.9
CREBBP 2195 1863 4221 4115 2.16 2.44 1.84 1.92
CREM 706 621 438 457 2.22 2.05 0.94 1.12
AMER1 695 574 780 814 1.28 1.27 1.72 1.92
CRKL 2176 1834 1720 1661 1.42 1.49 1.88 1.6
CRMP1 729 626 884 830 1.21 1.21 1.55 1.65
ASB6 1198 1032 1395 1592 2.28 2.25 2.04 1.95
ZNF358 652 599 1016 958 1.01 1.01 0.5 0.51
ZBTB46 455 389 811 814 1.5 1.88 1.43 1.2
SOGA1 2617 2212 4421 4573 2.06 2.07 1.3 1.24
RIMS4 1043 929 1678 1667 1.91 1.76 0.86 0.93
SRXN1 977 854 537 537 2.43 2.42 2.47 2.54
ZNF664 3236 2773 2022 1987 1.6 1.6 1.45 1.4
KRT80 1651 1441 1328 1319 2.4 2.32 1.89 1.81
CSNK1D 2809 2459 3854 3889 0.84 1.42 1.53 1.71
CSNK1G2 2067 1919 2680 2728 2.12 2.06 1.46 1.58
C15orf65 61 50 26 24 1.71 1.67 2.62 2.42
CSPG4 212 164 571 598 2.86 2.79 1.38 1.59
CSRP1 2948 2474 1793 1761 1.19 1.24 0.78 0.84
KIF18B 3424 2980 3497 3457 1.09 1.12 0.68 0.63
PROCA1 200 136 286 284 1.39 1.76 2.4 2.49
CST3 773 663 946 1005 1.17 1.08 0.26 0.32
NOTUM 260 245 375 336 1.5 1.37 0.83 0.63
TMEM99 165 146 98 107 2.43 2.34 1.36 1.56
ZNF420 77 80 24 22 1.5 1.51 3.96 10.48
TICAM1 532 488 710 771 0.46 0.45 0.37 0.36
ZNF555 564 504 422 445 2.32 2.33 2.67 3.08
LOC148413 507 372 651 729 2.08 2.22 1.59 1.41
CTBP1 2659 2170 3558 3636 1.34 1.33 1.2 1.01
CTBP2 1314 1112 1334 1389 1.42 1.39 1.53 1.35
RNF187 2652 2321 3309 3477 0.79 0.84 0.24 0.16
CTNS 361 305 424 430 1.13 0.98 1.32 1.48
SIK1 11961 10320 11628 11596 1.71 1.73 1.5 1.47
CCDC117 808 675 590 553 1.5 1.45 1.78 1.78
SGOL2 526 481 266 260 1.23 1.02 1.54 1.35
PPP4R2 674 508 464 470 0.72 0.54 1.31 1.26
CUX1 4696 4016 5592 5597 1.44 1.31 0.8 0.83
DAB2IP 1772 1530 2148 2271 1.1 1.09 0.5 0.66
SRFBP1 455 326 311 300 0.64 0.58 0.69 0.69
RNF145 1208 978 842 770 1.94 1.93 1.89 2.04
ZNF746 563 454 677 623 1.9 2.27 2.16 2.63
SGK223 418 395 580 608 0.96 1.17 0.71 0.7
CDCA2 937 764 711 695 2.27 2.08 2.4 2.35
ESCO2 376 331 279 249 1.49 1.27 1.65 1.47
CAMSAP1 2220 1829 3109 3159 0.14 0.17 0.1 0.09
ZXDB 1152 1003 826 863 2.99 3.2 3.46 3.33
ADSS 1112 920 511 486 0.79 0.67 1.53 2.28
DAG1 7338 6123 9659 9843 0.21 0.21 0.18 0.18
DENND5B 1176 987 1658 1660 1.91 1.54 2.46 2.81
PPTC7 529 440 238 281 2.77 2.73 2 1.5
DAP 4361 3801 5633 5595 0.49 0.35 0.51 0.44
NOP9 417 351 541 545 1.17 1.49 0.14 0.23
DAXX 2284 1966 2907 2961 1.13 1.12 1.18 1.13
ZFPM1 243 192 395 434 1.35 1.98 0.57 0.3
SLFN5 345 278 448 481 2.21 2.08 2.56 2.18
DBP 935 848 1200 1240 1.91 1.56 1 0.86
TOR1AIP2 3319 2863 2872 2787 2.94 2.77 3.15 3.29
DDX3X 7386 6195 5229 5221 1.73 1.71 1.36 1.33
RNF168 633 543 470 471 2.17 2.11 2.78 2.83
AES 7182 6278 8791 8952 0.45 0.5 0.42 0.45
ZNF384 1654 1433 2069 2149 2.08 1.96 1.24 1.21
RHOV 1225 1079 1266 1320 2.11 2.04 1.71 1.73
DSTNP2 239 182 162 138 1.72 1.69 1.99 1.99
DHCR7 2260 2026 1600 1653 1.42 1.58 0.66 0.61
DHCR24 4796 4132 5059 5006 0.49 0.65 0.19 0.16
DIAPH1 5602 4873 7229 7249 1.31 1.15 0.75 0.66
DLX1 223 174 271 277 2.39 2.53 1.55 1.55
DLX3 47 39 157 173 3.54 4.35 2.34 2.28
DMWD 511 423 710 710 2.47 2.41 1.85 1.75
DYNC1H1 13155 11242 16632 16522 1.2 1.17 0.86 0.83
DNMT3A 520 416 681 662 1.34 1.09 1.56 1.55
DR1 986 932 355 362 0.12 0.11 0.12 0.13
ATN1 5142 4680 7348 7666 1.12 1.1 0.68 0.6
DSP 16118 13635 22746 22073 1.13 1.07 1.15 1.12
SLC26A2 1020 896 645 600 3.47 3.13 2.36 2.58
DUSP1 1238 1023 781 791 1.28 1.09 0.58 0.41
DUSP7 472 455 612 610 1.44 1.33 1.32 1.2
E2F1 1604 1397 2593 2611 1.83 2.28 1.19 1.2
ECE1 3549 3001 5081 5085 1.46 1.53 1.19 1.02
S1PR3 1016 904 1127 1055 2.91 2.99 2.21 2.36
PHC2 923 801 1156 1046 1.3 1.53 0.75 0.76
EEF2 81603 70754 94966 95698 1.07 1.05 0.86 0.88
MEGF8 865 810 1402 1438 1.77 1.65 0.96 0.96
MEGF9 3772 3189 2034 2005 2.23 2.21 2.25 2.21
ARID2 2189 1772 2600 2560 2.52 2.52 2.57 3.07
EIF2B1 1357 1153 887 1032 2.03 1.97 2.28 1.97
EPHA2 835 741 922 942 2.93 2.62 1.72 1.82
ELF1 379 327 157 183 2.2 1.54 2.89 2.83
TXLNA 2503 2197 3423 3458 2.03 1.83 1.3 1.25
ELK1 1079 945 1424 1444 1.5 1.52 0.85 0.88
CTTN 3740 3241 4302 4312 1.31 1.36 0.79 0.72
ENSA 2314 1945 2327 2338 0.54 0.17 0.63 0.71
TMEM184A 514 456 637 650 1.15 1.37 1.75 1.41
R3HCC1 505 473 700 776 0.62 0.61 0.4 0.41
EP300 2321 2101 3896 3809 2.23 2.32 1.79 1.9
EPB41L1 2567 2297 3304 3256 0.16 0.24 0.07 0.13
AK2 4531 3950 3106 3056 1.18 1.3 1.91 1.63
EPHB4 2366 2035 2912 3040 1.15 1.35 0.78 0.55
KIAA2018 1154 972 1292 1273 1.2 1.3 1.72 1.8
NR2F6 1905 1609 2332 2326 2.16 2.16 1.51 1.59
ERF 1138 1033 1729 1612 1.2 0.97 0.42 0.64
ERG 263 228 156 169 2.17 2.09 2.44 2.52
AKT2 2152 1893 2378 2435 1 0.94 0.29 0.31
ABCA3 891 770 1233 1275 1.05 0.75 1.43 1.64
ETF1 4080 3433 2774 2562 2.3 2.42 1.74 1.94
ETS2 2466 2170 1958 1958 2.28 2.12 2.48 2.26
ETV3 240 178 315 324 3.22 3.54 2.42 2.4
EXTL2 312 246 148 144 2.79 2.98 3.31 4.07
ABCD1 1348 1176 2187 2354 1.15 1.02 0.68 0.53
BPTF 4317 3682 5629 5392 0.93 0.52 1.13 1.52
ALDH1B1 1124 883 869 862 0.71 0.73 0.79 0.88
FAT1 3539 3106 4892 4779 2.48 2.23 2.31 2.16
FBN2 2511 2150 1987 2035 2.22 2.12 1.34 1.74
SLC16A9 272 220 101 87 1.48 1.72 1.73 2.47
HNRNPA3 5780 4861 3947 3669 1.11 1.16 1.91 1.97
ALDH3B1 1764 1482 2013 2041 2.26 2.24 1.11 1.22
C6orf223 529 491 735 706 1.96 1.82 1.31 1.35
RNF182 5195 4347 3482 3227 2.56 2.57 2.6 2.68
ZSCAN25 364 331 445 436 1.2 1.67 1.72 1.78
BRAT1 1444 1237 2141 2251 2.45 2.38 1.67 1.75
SRRM3 276 243 472 508 2.56 2.52 1.96 1.85
LRWD1 395 379 480 513 2.42 2.59 1.67 1.14
FDPS 4750 4178 3971 3893 0.13 0.11 0.16 0.16
SLC29A4 410 330 917 944 2.2 2.46 1.55 1.68
FGFR1 649 568 763 762 1.49 1.68 0.78 0.72
CASC3 1545 1243 1706 1834 0.65 0.72 0.02 0.14
MRAS 1143 991 1612 1560 1.42 1.33 1.56 1.32
ATF5 402 296 513 543 0.3 0.32 0.35 0.46
HSPA4L 1181 956 778 675 1.16 0.99 1.2 1.49
PUF60 2227 1875 2377 2338 2.17 2.15 1.51 1.52
COBLL1 268 224 329 353 0.34 0.37 0.39 0.39
DLGAP4 1690 1452 1912 1894 2.4 2.4 1.68 1.72
ZNF507 1177 992 721 736 1.69 1.74 2.4 2.38
LMTK2 2903 2455 4122 4236 0.15 0.15 0.11 0.09
FNDC3A 2936 2267 2004 1829 1.36 1.33 0.81 0.91
SEC31A 4034 3464 4291 4270 2.35 2.06 1.67 1.33
CLSTN1 4059 3490 5794 5681 1.08 1.21 0.6 0.68
KIAA0907 1942 1630 1563 1598 1.71 1.53 2.47 2.17
BTBD3 2114 1873 1245 1245 2.17 2.05 2.18 2.24
DHX30 4207 3562 4445 4416 1.78 1.81 1.24 1.33
ATF6 3147 2621 2389 2425 2.45 2.6 2.62 2.73
RAB18 836 697 627 636 0.9 1.17 1.33 1.24
FOXC1 747 666 930 963 2.3 2.22 2.15 2.1
ACIN1 6871 6087 8108 8169 0.35 0.35 0.97 0.81
KDM2A 1850 1602 2239 2257 1.37 1.46 1.68 1.35
CEP152 1369 1129 954 880 1.94 1.94 2.63 2.41
ABCF1 5112 4251 6357 6349 2.91 2.96 2.63 2.45
SPEN 2941 2470 4358 4400 1.71 1.61 1.02 0.97
FBXO21 1238 1107 1025 1019 2.47 2.39 2.82 2.66
FOXC2 461 418 957 951 1.58 1.68 1.15 1.31
ZNF292 786 652 574 613 0.76 0.81 0.33 0.37
PDXDC1 3122 2745 3639 3540 2.27 2.17 1.73 1.45
SMG1 5509 4587 4694 4418 2.33 2.37 2.46 2.53
FOXM1 4648 3997 7328 7513 1.67 1.82 1.25 1.16
ZHX3 2015 1782 2338 2250 1.47 1.49 0.76 0.85
NCOA6 3000 2636 5166 5051 1.54 1.46 0.99 1.05
ZNF609 2613 2154 3688 3557 2.28 2.34 1.71 1.52
SETD1B 1870 1624 2568 2592 2.3 2.26 1.68 1.67
HECW1 659 606 871 937 0.47 0.35 0.22 0.19
ERC1 2100 1788 4792 4621 2.14 1.77 1.73 1.79
PEG10 4783 4245 8031 7806 1.4 1.54 1.68 1.86
FOXO3 1095 902 1199 1164 1.32 1.11 1.62 1.52
ZC3H13 3690 3016 3701 3581 1.27 1.26 1.68 1.5
KIF1B 2792 2309 2898 2772 1.15 1.33 1.5 1.64
TBC1D2B 925 815 1304 1253 0.25 0.27 0.26 0.3
MRPS27 2367 2094 1693 1737 1.41 1.34 0.59 0.61
TAB2 1685 1399 1280 1287 0.88 0.92 0.91 0.9
HIC2 210 178 413 366 2.02 1.42 2.25 2.48
GPATCH8 2954 2449 3723 3636 2.07 2.01 1.54 1.58
EPB41L3 2290 1990 2871 2912 0.98 0.67 1.12 0.93
MAST2 1620 1389 2296 2309 1.59 1.7 1.06 1.03
TBC1D9 533 418 689 747 1.85 2.04 2.68 2.1
FLNA 42999 37630 55476 56445 1.7 2.1 0.93 1.22
SEPT8 2037 1811 2643 2763 1.98 1.8 1.44 1.31
KANK1 811 705 984 910 0.64 0.76 0.74 0.78
ZC3H4 702 630 1190 1224 1.94 2.02 2.13 2.07
RRS1 971 794 1144 1077 0.76 0.8 0.38 0.42
PRRC2C 15239 13001 17950 17351 1.52 1.46 1.56 1.59
NUP210 9191 7928 9542 9378 1.93 2.05 1.51 1.53
SIK2 2314 1878 2763 2770 1.56 1.23 0.78 0.8
COBL 1323 1146 1805 1832 0.25 0.25 0.21 0.18
ASTN2 1926 1499 1547 1404 0.68 0.87 0.88 1.06
RPRD2 1437 1131 2058 2101 2.29 2.36 1.9 1.88
ATP11A 3371 2962 4022 3922 1.81 1.76 1.48 1.49
TSPYL4 391 320 269 253 2.42 2.54 1.6 1.81
FAM208A 2652 2236 2641 2683 2.56 2.37 2.55 2.6
NUP160 4677 3944 3209 3170 2.32 2.46 1.39 1.4
IQCE 675 523 1155 1140 2.18 1.97 2.42 2.4
SMG6 1044 889 1327 1391 2.16 2.05 2.39 2.24
ATMIN 1833 1493 1464 1478 2.41 2.09 1.47 1.11
WSCD1 614 527 1025 1108 2.62 2.65 2.21 2.06
ICOSLG 218 187 290 279 2.09 2.25 2.53 2.71
SIN3B 2316 2002 3249 3303 0.25 0.31 0.14 0.15
USP22 6145 5260 7354 7294 1.82 1.82 1.24 1.4
TTC28 1487 1317 1780 1793 1.97 1.95 2.4 2.18
SYNM 843 681 1358 1312 1.72 1.7 2.28 2.15
JADE2 1817 1588 2790 2872 2.51 2.45 2.25 2.37
VPS39 1586 1405 1717 1648 1.67 1.94 1.27 1.32
ESYT1 2170 1959 3074 2997 1.34 1.37 0.47 0.9
KHNYN 888 781 1226 1285 0.75 0.68 0.5 0.47
SUN1 2733 2373 2272 2315 1.42 1.48 0.95 0.99
USP24 1811 1487 1427 1366 2.16 2.25 2.54 2.48
ZNF629 593 478 1135 1133 0.9 1.26 1.49 1.3
KIAA0895 600 479 404 389 1.3 1.19 2.01 2.07
PPP1R13B 534 426 731 725 1.75 1.69 2.34 2.26
ARHGEF18 1425 1269 2286 2495 0.56 0.99 0.34 0.18
SRGAP2 1204 999 1444 1398 1.19 1.36 0.84 0.92
SPECC1L 1608 1419 1794 1824 1.9 1.9 1.47 1.34
NCSTN 1050 986 813 862 1.28 1.26 1.52 1.5
MED13L 3868 3259 4537 4478 2.03 2.07 1.66 1.53
ADNP 3214 2713 3205 3242 1.73 1.82 1.75 1.7
LARS2 1710 1543 1396 1447 1.7 1.51 1.01 1.03
PIP5K1C 1464 1334 2737 2625 2.61 2.53 1.97 2.01
CTDNEP1 2301 1946 2663 2524 1.81 1.67 1.09 1.16
COMMD3 95 87 45 44 0.71 0.61 1.45 0.94
RYBP 582 461 316 349 1.09 1.25 1.46 1.37
GPR161 635 564 681 744 1.6 1.68 1.86 1.75
RHOQ 1036 833 597 614 2.04 2.21 1.52 1.57
TARDBP 2599 2204 2039 1940 2.13 2.01 2.22 2.02
ICMT 2258 1957 2377 2396 0.85 0.58 0.24 0.12
NPTXR 628 476 907 993 1.78 2.01 1.21 0.78
CBX5 9488 7816 10949 10851 0.83 0.78 1.03 0.87
BRD4 3054 2694 4768 4834 2.21 2.18 1.49 1.53
SEC61G 189 136 74 90 0.43 0.55 0.79 0.84
ZFYVE26 790 715 1151 1230 1.19 1.17 1.86 1.55
KCTD2 772 636 889 880 2.6 2.78 2.31 2.07
SLC39A14 2945 2530 2516 2416 2.64 2.61 2.6 2.64
SRRM2 20734 17679 24425 24246 1.07 1.08 0.82 0.8
PRAME 1314 1158 1469 1463 1.93 1.98 1.34 1.35
SNAPIN 562 524 707 639 1.45 1.47 0.82 1.11
CCNDBP1 823 740 608 644 0.7 0.2 0.89 1.42
TMEM50A 558 435 362 342 1.83 1.56 0.65 0.66
PATZ1 619 516 742 822 1.61 1.71 1.33 1.27
PHLDA3 393 348 443 478 1.14 1.23 0.32 0.19
FAM89B 249 247 437 495 2.05 1.7 1.17 0.94
SSBP3 970 806 1404 1323 1.1 1 1.6 1.48
TRIM29 1808 1562 2228 2154 0.96 0.86 0.53 0.45
PLA2G15 411 330 519 505 3.04 2.86 2.43 2.4
SH3BP4 2116 1773 2683 2531 1.68 1.76 1 1.24
EID1 2400 2057 2734 2860 1.77 1.65 1.82 1.64
IL17RA 622 547 823 854 0.45 0.52 0.22 0.26
BCL2L13 1875 1542 1150 1088 1.68 1.62 1.66 1.75
ALPI 46883 41263 72537 73899 1.94 1.93 1.52 1.56
ZBTB38 1663 1414 2019 1878 0.32 0.42 0.61 0.53
RNF169 1285 1094 777 772 1.9 2 2.04 2.19
LCORL 281 227 182 185 2.14 1.81 2.89 3.05
GK5 1539 1433 1241 1168 1.04 0.92 1.78 1.58
SNX33 507 456 594 565 2.3 1.69 1.27 1.44
TBC1D22A 661 556 790 819 1.84 1.63 0.59 0.3
CBY1 222 178 147 134 0.68 0.76 1.86 1.33
GAK 2401 2078 3053 3019 0.94 0.69 0.23 0.28
BAMBI 323 288 501 538 0.79 0.92 0.48 0.32
DNAJB5 392 308 432 487 1.47 1.06 0.59 0.81
BACE2 3274 2838 2340 2421 1.79 1.81 1.25 1.11
HECTD1 2990 2557 2214 2189 0.1 0.1 0.12 0.1
NIPBL 5108 4223 5555 5450 1.42 1.52 1.68 1.69
GALNS 701 603 782 793 1.97 2.25 1.5 1.52
POC1A 542 429 676 709 1.97 2.19 1.34 1.38
GALNT2 5438 4543 3601 3441 2.18 2.24 1.72 1.77
OLFML2B 585 514 681 707 2.11 2.11 2.23 2.42
AHCTF1 4307 3548 3050 2931 0.26 0.3 0.32 0.29
C1orf43 2950 2512 1763 1703 1.79 1.79 2.14 2.07
ZDHHC5 1682 1459 2113 2055 1.19 1.23 0.58 0.57
ASPM 4838 4014 4156 3932 0.8 1.03 1.12 1.13
BOD1L1 4406 3649 4895 4601 1.5 1.6 1.24 1.44
GEMIN5 2122 1815 1731 1692 1.26 1.32 1.36 1.39
